p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,68.2,78.0,Ovate,White,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,65.8,76.1,Ovate,Intermediate,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,60.1,76.4,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,61.6,78.8,Ovate,Purple,Tropical/Subtropical,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,65.3,69.2,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,63.8,75.3,Ovate,Intermediate,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,57.9,74.6,Ovate,White,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,56.4,73.8,Ovate,Intermediate,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,64.5,72.2,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,63.5,69.3,Ovate,Purple,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,55.1,72.7,Ovate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,62.2,77.8,Ovate,Purple,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,64.1,72.4,Ovate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,68.5,71.4,Ovate,Intermediate,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,63.1,74.3,Ovate,White,Temperate,Moderate,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,53.9,83.2,Intermediate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,54.2,87.4,Intermediate,White,Temperate,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,55.9,90.7,Lanceolate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,53.1,78.6,Ovate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,55.3,83.8,Lanceolate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,58.9,85.4,Intermediate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,55.7,82.0,Lanceolate,White,Temperate,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,57.1,87.5,Lanceolate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,53.8,79.5,Ovate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,53.3,90.8,Intermediate,White,Temperate,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,55.4,75.7,Ovate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,55.0,80.7,Ovate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,58.3,86.3,Lanceolate,White,Temperate,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,55.7,85.6,Ovate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,58.2,77.1,Ovate,White,Temperate,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,57.1,85.0,Lanceolate,White,Tropical/Subtropical,Very High,High
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,57.9,97.2,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,54.7,91.4,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,53.8,93.4,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,58.9,94.0,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,57.0,86.5,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,59.4,87.3,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,52.2,87.5,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,61.0,97.3,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,54.6,87.6,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,62.3,86.3,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,55.6,82.9,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,56.7,94.3,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,59.4,84.2,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,57.1,83.4,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,64.6,81.4,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,56.3,89.2,Ovate,White,Tropical,Very High,Moderate
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,142.8,80.7,Ovate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,138.1,83.8,Ovate,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,140.0,87.8,Ovate,Intermediate,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,131.3,83.2,Ovate,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,135.4,88.8,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,148.5,80.3,Intermediate,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,139.8,89.4,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,146.4,88.5,Intermediate,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,134.9,88.4,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,157.3,81.8,Intermediate,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,150.1,84.6,Linear,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,137.9,82.3,Intermediate,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,144.0,82.8,Ovate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,132.0,81.5,Intermediate,Yellow,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,147.4,80.8,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,149.1,84.8,Ovate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,128.0,77.9,Ovate,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,117.6,78.3,Ovate,Intermediate,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,122.2,78.1,Ovate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,112.2,72.4,Intermediate,Yellow,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,118.7,85.0,Intermediate,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,128.9,80.4,Intermediate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,120.9,73.4,Intermediate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,106.6,73.1,Intermediate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,109.2,78.4,Ovate,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,117.3,76.9,Intermediate,Intermediate,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,108.9,72.5,Linear,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,117.5,81.2,Ovate,Yellow,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,117.7,75.4,Ovate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,116.5,85.9,Linear,Yellow,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,120.4,78.8,Intermediate,Yellow,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,128.3,77.1,Intermediate,Yellow,Temperate,Moderate,High
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,115.6,105.4,Pinnate,Pink,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,119.1,100.5,Pinnate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,114.3,94.0,Pinnate,White,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,120.0,106.8,Intermediate,Pink,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,120.0,102.3,Intermediate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,118.3,101.5,Intermediate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,120.1,107.0,Intermediate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,106.3,96.5,Ovate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,114.8,107.8,Pinnate,Pink,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,119.7,98.6,Intermediate,Pink,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,119.9,101.4,Intermediate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,114.9,101.0,Intermediate,Pink,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,120.9,97.5,Ovate,Pink,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,120.3,88.1,Ovate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,109.4,96.9,Pinnate,White,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,118.9,102.1,Ovate,Pink,Temperate,Moderate,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,175.3,116.5,Ovate,White,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,167.6,130.5,Pinnate,Intermediate,Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,152.9,111.7,Intermediate,White,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,158.4,123.0,Intermediate,Intermediate,Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,165.0,115.5,Ovate,White,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,164.0,114.6,Intermediate,White,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,163.5,113.4,Ovate,White,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,160.0,115.6,Ovate,Intermediate,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,159.4,116.0,Intermediate,Intermediate,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,182.6,123.1,Intermediate,White,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,169.8,118.4,Intermediate,Intermediate,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,167.7,121.9,Intermediate,Pink,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,178.7,116.5,Intermediate,Intermediate,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,167.9,108.9,Ovate,Pink,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,170.6,113.5,Pinnate,Intermediate,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,170.1,105.5,Intermediate,Intermediate,Cool Temperate,Very High,Moderate
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,170.6,87.4,Intermediate,Intermediate,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,155.6,73.3,Ovate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,171.5,85.1,Intermediate,White,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,179.9,76.7,Intermediate,White,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,170.4,80.1,Intermediate,Yellow,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,157.3,81.0,Intermediate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,171.7,78.8,Intermediate,Intermediate,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,154.5,85.7,Ovate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,169.7,80.5,Ovate,Yellow,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,165.1,83.3,Intermediate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,168.2,76.2,Ovate,Yellow,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,165.8,83.6,Cordate,Intermediate,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,178.9,84.9,Intermediate,Intermediate,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,165.6,82.5,Intermediate,Yellow,Temperate,Very High,High
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,152.1,81.3,Cordate,White,Temperate,Very High,High
300,35,80,80,5,0,1,0,2,2,2,1,4,1,0,164.8,76.2,Cordate,Yellow,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,173.8,103.8,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,168.4,92.4,Ovate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,165.8,95.0,Ovate,Yellow,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,167.9,101.1,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,163.3,111.5,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,167.5,109.7,Ovate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,154.7,103.4,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,178.6,105.2,Ovate,Yellow,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,168.9,96.6,Ovate,Yellow,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,166.2,106.4,Ovate,White,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,171.8,111.8,Ovate,White,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,174.2,111.9,Ovate,Intermediate,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,157.4,96.3,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,163.0,102.7,Ovate,Yellow,Temperate,Very High,High
35,300,80,130,0,0,0,1,2,2,1,3,1,3,0,170.8,99.1,Ovate,Intermediate,Temperate,Very High,High
300,35,130,80,0,0,1,0,2,2,3,1,3,1,0,178.5,97.8,Ovate,Intermediate,Temperate,Very High,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,80.2,97.5,Linear,White,Tropical,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,77.3,109.6,Intermediate,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,84.0,108.3,Intermediate,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,81.5,109.4,Linear,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,74.9,99.3,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,77.9,106.4,Intermediate,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,77.4,95.7,Ovate,White,Tropical,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,74.2,101.2,Linear,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,78.9,101.7,Ovate,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,69.5,98.2,Intermediate,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,79.3,102.2,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,77.4,112.0,Intermediate,White,Temperate,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,78.2,101.9,Intermediate,White,Tropical,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,81.6,97.0,Ovate,White,Tropical,Moderate,High
35,120,80,120,0,3,0,0,2,0,1,1,1,4,0,79.0,95.6,Linear,White,Temperate,Moderate,High
120,35,120,80,3,0,0,0,0,2,1,1,4,1,0,79.3,96.1,Ovate,White,Tropical,Moderate,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,63.5,90.5,Ovate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,67.0,92.6,Intermediate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,68.5,99.0,Intermediate,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,70.0,99.8,Ovate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,63.0,100.0,Ovate,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,68.3,86.8,Linear,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,67.7,103.2,Intermediate,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,65.0,94.4,Linear,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,64.0,95.6,Intermediate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,72.3,87.6,Intermediate,White,Tropical,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,64.0,92.1,Linear,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,67.1,100.0,Linear,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,71.5,88.9,Intermediate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,65.1,90.2,Intermediate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,0,1,2,1,3,0,69.0,97.5,Ovate,White,Tropical,Very High,High
100,35,110,80,3,0,0,0,0,2,2,1,3,1,0,66.7,91.8,Intermediate,White,Tropical,Very High,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,65.9,92.2,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,63.3,91.6,Linear,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,63.9,85.5,Linear,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,62.5,92.8,Intermediate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,54.6,87.6,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,64.1,92.4,Ovate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,65.7,89.9,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,67.3,82.8,Ovate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,60.1,89.2,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,65.3,96.6,Linear,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,65.9,87.9,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,62.4,91.5,Ovate,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,62.9,98.5,Ovate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,63.4,89.0,Linear,White,Temperate,Moderate,High
35,90,80,100,0,3,0,0,2,2,1,1,1,4,0,64.9,92.6,Intermediate,White,Temperate,Moderate,High
90,35,100,80,3,0,0,0,2,2,1,1,4,1,0,65.4,90.4,Linear,White,Temperate,Moderate,High
35,100,80,110,0,3,0,0,2,3,1,2,1,3,0,67.4,93.6,Linear,White,Temperate,Very High,High
100,35,110,80,3,0,0,0,3,2,2,1,3,1,0,71.2,94.8,Intermediate,White,Temperate,Very High,High
35,100,80,110,0,3,0,0,2,3,1,2,1,3,0,73.1,96.4,Intermediate,White,Mediterranean,Very High,High
100,35,110,80,3,0,0,0,3,2,2,1,3,1,0,65.2,97.1,Linear,White,Temperate,Very High,High
